Sample Name,Location,Site,Species,Date Collected,Sample Type,Latitude,Longitude,Tissue N (% dry mass),C:N,Tissue ?15N (‰)
Wu01A1,Waiehu Bay,Wu01,Acanthophora spicifera,7/22/2013,Shore-collected,20.91102677,-156.48565217,2.0,13.2,5.5
Wu02A1,Waiehu Bay,Wu02,Acanthophora spicifera,7/22/2013,Shore-collected,20.90996445,-156.48671776,1.9,15.3,5.3
Wu03U1,Waiehu Bay,Wu03,Ulva spp.,7/22/2013,Shore-collected,20.91030794,-156.48816448,0.7,34.5,4.7
Wu04A1,Waiehu Bay,Wu04,Acanthophora spicifera,7/22/2013,Shore-collected,20.91441851,-156.49121960,1.3,16.8,4.5
Wu05A1,Waiehu Bay,Wu05,Acanthophora spicifera,7/22/2013,Shore-collected,20.91537111,-156.49163442,1.3,16.5,5
Wu06A1,Waiehu Bay,Wu06,Acanthophora spicifera,7/22/2013,Shore-collected,20.91621869,-156.49186442,2.7,9.8,5.4
Wu07A1,Waiehu Bay,Wu07,Acanthophora spicifera,7/22/2013,Shore-collected,20.91667743,-156.49180164,1.8,13.0,4.6
Wu08A1,Waiehu Bay,Wu08,Acanthophora spicifera,7/22/2013,Shore-collected,20.91675220,-156.49155864,1.2,18.8,4.4
Wu09A1,Waiehu Bay,Wu09,Acanthophora spicifera,7/22/2013,Shore-collected,20.91682294,-156.49140727,1.4,16.6,4.4
Wu10A1,Waiehu Bay,Wu10,Acanthophora spicifera,7/22/2013,Shore-collected,20.91691053,-156.49103863,1.3,18.1,5.1
Wu11A1,Waiehu Bay,Wu11,Acanthophora spicifera,7/22/2013,Shore-collected,20.91706334,-156.49055768,1.3,20.1,4.6
Wu12A1,Waiehu Bay,Wu12,Acanthophora spicifera,7/22/2013,Shore-collected,20.91732913,-156.49118934,1.6,15.4,5.2
Wu13A1,Waiehu Bay,Wu13,Acanthophora spicifera,7/22/2013,Shore-collected,20.91713073,-156.49146468,1.7,14.2,5.1
MauiPT1,Keahamoe Bay,MPT0,Ulva spp.,7/25/2012,Shore-collected,21.25646400,-157.79948800,0.5,39.4,6
MauiPT2,Keahamoe Bay,MPT0,Ulva spp.,7/25/2012,Shore-collected,21.25646400,-157.79948800,0.6,39.0,5.1
